name	MParameter	unit	index	min.	max.	place	usage	explanation	reference
									
fluid volume source				QV		m3		1	-1.00E+01	1.00E+01	element	CSP variable	see documentation	CSP User's Guide
nodal fluid volume source		NQV		m3		1	-1.00E+01	1.00E+01	node	CSP variable	see documentation	CSP User's Guide
fluid pressure					PF		Pa		1	0.00E+00	1.00E+10	node	CSP variable	see documentation	CSP User's Guide
permeability					K		m2		1	1.00E-25	1.00E+02	element	CSP variable	see documentation	CSP User's Guide
porosity						PHI		X		1	1.00E-05	1.00E+01	element	CSP variable	see documentation	CSP User's Guide
storativity						S		m3 m-3 Pa-1	1	1.00E-15	1.00E-05	element	CSP variable	see documentation	CSP User's Guide
inner radius					IR		m		1	1.00E-30	1.00E+04	element	CSP variable	see documentation	CSP User's Guide
velocity						V		m s-1	2	-1.00E+01	1.00E+01	element	CSP variable	see documentation	CSP User's Guide
pore velocity					VP		m s-1	2	-1.00E+01	1.00E+01	element	CSP variable	see documentation	CSP User's Guide
volume flux						F		m s-1	1	-1.00E+01	1.00E+01	element	CSP variable	see documentation	CSP User's Guide
brooks corey parameter				BC		X		1	1.00E+00	4.00E+00	element	CSP variable	see documentation	CSP User's Guide
van genuchten parameter				VG		X		1	1.50E+00	6.00E+00	element	CSP variable	see documentation	CSP User's Guide
residual saturation wetting phase		SWR		X		1	0.00E+00	2.50E-01	element	CSP variable	see documentation	CSP User's Guide
residual saturation non-wetting phase	SNR		X		1	0.00E+00	2.50E-01	element	CSP variable	see documentation	CSP User's Guide
nodal brooks corey parameter				NBC		X		1	1.00E+00	4.00E+00	node	CSP variable	see documentation	CSP User's Guide
nodal van genuchten parameter				NVG		X		1	1.50E+00	6.00E+00	node	CSP variable	see documentation	CSP User's Guide
nodal residual saturation wetting phase		NSWR		X		1	0.00E+00	2.50E-01	node	CSP variable	see documentation	CSP User's Guide
nodal residual saturation non-wetting phase	NSNR		X		1	0.00E+00	2.50E-01	node	CSP variable	see documentation	CSP User's Guide
viscosity oil					MUO		Pa s-1	1	1.00E-04	1.00E-02	node	CSP variable	see documentation	CSP User's Guide
viscosity water					MUW		Pa s-1	1	1.00E-04	1.00E-03	node	CSP variable	see documentation	CSP User's Guide
density oil						RHO		kg m-3	1	1.00E-04	1.00E+04	node	CSP variable	see documentation	CSP User's Guide
density water					RHW		kg m-3	1	1.00E-04	1.00E+04	node	CSP variable	see documentation	CSP User's Guide
relative fluid density			RRHW	kg m-3	1	-1.00E+04	1.00E+04	element	CSP variable	see documentation	CSP User's Guide
saturation oil					SO		X		1	0.00E+00	1.00E+00	node	CSP variable	see documentation	CSP User's Guide
saturation water					SW		X		1	0.00E+00	1.00E+00	node	CSP variable	see documentation	CSP User's Guide
relative permeability oil			KRO		X		1	0.00E-00	1.00E+00	element	CSP variable	see documentation	CSP User's Guide
relative permeability water			KRW		X		1	0.00E-00	1.00E+00	element	CSP variable	see documentation	CSP User's Guide
total mobility					LT		m2		1	1.00E-23	1.00E+00	element	CSP variable	see documentation	CSP User's Guide
node property gradient				NG		m-1		2	-1.00E+10	1.00E+10	node	CSP variable	see documentation	CSP User's Guide
node property gradient limiter		NGL		X		1	0.00E+00	1.00E+00	node	CSP variable	see documentation	CSP User's Guide
