name	MParameter	unit	index	min.	max.	place
shock saturation carbonic phase	ssCO2	m3/m3	1	-5.00e-02	1.05e+00	NODE
shock saturation aqueous phase	ssH2O	m3/m3	1	-5.00e-02	1.05e+00	NODE
total dissolved solids	TDS	kg/m3	1	0.00e+00	3.00e+02	NODE
total mobility	lat	1/(Pa.s)	1	1.00e-20	1.00e+00	ELEMENT
total system compressibility	ct	1/Pa	1	1.00e-15	1.00e-05	ELEMENT
total velocity	vt	m/s	2	-1.00e+03	1.00e+03	ELEMENT
horizontal permeability	kh	m2	1	1.00e-21	1.00e-07	ELEMENT
volume flux	qf	m3/s	1	0.00e+00	1.00e+02	ELEMENT
model time	t	s	1	0.00e+00	1.00e+15	MODEL
brooks corey parameter	bcp	none	1	0.00e+00	8.00e+00	ELEMENT
gravity force	Fg	kg/(m.s2)	2	-1.00e+15	1.00e+15	ELEMENT
dip vector	dip	none	2	-1.00e+00	1.00e+00	ELEMENT
sector pore volume	sPV	m3	1	1.00e-08	1.00e+06	SECTOR_INTEGRATION_POINT
facet normal permeability	kfn	m2	1	1.00e-21	1.00e-07	FACET_INTEGRATION_POINT
facet area permeability	key_fAk	m2	2	1.00e-21	1.00e-07	FACET_INTEGRATION_POINT
facet area	fA	m2	1	1.00e-08	1.00e+06	FACET_INTEGRATION_POINT
facet normal	fn	none	2	1.00e+00	1	FACET_INTEGRATION_POINT
facet total flux	qft	m3/s	1	0.00e+00	1.00e+05	FACET_INTEGRATION_POINT
facet flux carbonic phase	qfCO2	m3/s	1	0.00e+00	1.00e+05	FACET_INTEGRATION_POINT
FV pore volume	fvPV	m3	1	0.00e+00	1.00e+07	NODE
cfl	cfl	none	1	0.00e+00	1.00e+06	NODE
default time increment	dt	s	1	1.00e-03	8.64e+06	MODEL
element number	Ne	none	1	0.00e+00	1.00e+10	ELEMENT
face dip vector	dipf	none	2	-1.00e+00	1.00e+00	FACE
node number	Nn	int	1	0.00e+00	1.00e+10	NODE
output times	t_out	s	1000	0.00e+00	1.00e+15	MODEL
previous fluid pressure	pf0	Pa	1	-1.00e+09	1.00e+09	NODE
previous fluid volume source	QV0	m3(m3.s)	1	-1.00e+00	1.00e+00	ELEMENT
previous nodal fluid volume source	nQV0	m3(m3.s)	1	-1.00e+00	1.00e+00	NODE
run duration	TMAX	s	1	0.00e+00	1.00e+15	MODEL
thickness	thi	m	1	1.00e-10	1.00e+08	ELEMENT
volume	V	m3	1	1.00e-10	1.00e+08	ELEMENT
acceleration gravity	g	m/s2	1	9.76e+00	9.83e+00	MODEL
fault breccia permeability	kFbr	m2	1	1.00e-25	1.00e+00	ELEMENT
fault size	Fs	m	1	1.00e+00	1.00e+05	REGION
fracture permeability	kf	m2	1	1.00e-25	1.00e+00	ELEMENT
permeability	k	m2	3	1.00e-25	1.00e+02	ELEMENT
permeability calibration factor	k_cal	none	1	0.00e+00	1.00e+00	ELEMENT
porosity	phi	none	1	1.00e-06	1.00e+00	ELEMENT
rocktype	RRT	int	1	0.00e+00	1.00e+02	ELEMENT
slip patch area	AS	m2	1	1.00e-01	1.00e+10	REGION
pore velocity	VP	m s-1	2	-1.00E+08	1.00E+08	ELEMENT
nodal velocity	nV	m s-1	2	-1.00E+08	1.00E+08	NODE
nodal pore velocity	nVP		m s-1	2	-1.00E+08	1.00E+08	NODE
nodal volume flux	nF		m s-1	1	-1.00E+08	1.00E+08	NODE
event index			EVI	none		1	0.00E+00	1.00E+10	NODE
update count			UPC	none		1	0.00E+00	1.00E+10	NODE
rate count			RAC	none		1	0.00E+00	1.00E+10	NODE
schedule count			SCC	none		1	0.00E+00	1.00E+10	NODE
synchronize count		SYC	none		1	0.00E+00	1.00E+10	NODE
cfl multiplier		CFL	none		1	0.00E+00	1.00E+10	NODE
non-wetting phase timing array	NTA	none		7	-1.00E+10	1.00E+10	NODE
