Seff	Krw		Krnw		Pc
0.00	0.00	1.00	40000000.00
0.06	0.00	0.89	840.95
0.11	0.00	0.78	594.64
0.17	0.00	0.67	485.52
0.23	0.00	0.57	420.48
0.28	0.01	0.47	376.09
0.34	0.01	0.39	343.32
0.40	0.02	0.31	317.85
0.45	0.04	0.24	297.32
0.51	0.07	0.18	280.32
0.57	0.10	0.13	265.93
0.62	0.15	0.09	253.56
0.68	0.21	0.06	242.76
0.74	0.29	0.03	233.24
0.79	0.39	0.02	224.75
0.85	0.52	0.01	217.13
0.90	0.67	0.00	210.24
0.96	0.85	0.00	203.96
1.00	1.00	0.00	200.00
